0 tensor(8.2824, device='cuda:0')
1 tensor(27.7679, device='cuda:0')
2 tensor(36.2993, device='cuda:0')
3 tensor(40.5809, device='cuda:0')
4 tensor(42.9938, device='cuda:0')
5 tensor(44.6836, device='cuda:0')
6 tensor(45.8441, device='cuda:0')
7 tensor(46.6767, device='cuda:0')
8 tensor(47.3361, device='cuda:0')
9 tensor(47.8792, device='cuda:0')
10 tensor(48.3840, device='cuda:0')
11 tensor(48.6866, device='cuda:0')
12 tensor(49.0174, device='cuda:0')
13 tensor(49.3341, device='cuda:0')
14 tensor(49.5789, device='cuda:0')
15 tensor(49.7247, device='cuda:0')
16 tensor(49.9117, device='cuda:0')
17 tensor(50.1074, device='cuda:0')
18 tensor(50.2150, device='cuda:0')
19 tensor(50.4429, device='cuda:0')
20 tensor(50.6093, device='cuda:0')
21 tensor(50.6370, device='cuda:0')
22 tensor(50.7770, device='cuda:0')
23 tensor(50.8622, device='cuda:0')
24 tensor(50.9753, device='cuda:0')
25 tensor(51.0456, device='cuda:0')
26 tensor(51.1648, device='cuda:0')
27 tensor(51.2316, device='cuda:0')
28 tensor(51.2909, device='cuda:0')
29 tensor(51.3448, device='cuda:0')
30 tensor(60.7229, device='cuda:0')
31 tensor(62.9202, device='cuda:0')
32 tensor(63.7593, device='cuda:0')
33 tensor(64.3545, device='cuda:0')
34 tensor(64.6468, device='cuda:0')
35 tensor(64.9063, device='cuda:0')
36 tensor(65.0799, device='cuda:0')
37 tensor(65.1496, device='cuda:0')
38 tensor(65.2120, device='cuda:0')
39 tensor(65.2194, device='cuda:0')
40 tensor(65.2519, device='cuda:0')
41 tensor(65.2345, device='cuda:0')
42 tensor(65.2183, device='cuda:0')
43 tensor(65.1796, device='cuda:0')
44 tensor(65.2212, device='cuda:0')
45 tensor(65.2512, device='cuda:0')
46 tensor(65.2692, device='cuda:0')
47 tensor(65.2193, device='cuda:0')
48 tensor(65.3044, device='cuda:0')
49 tensor(65.2934, device='cuda:0')
50 tensor(65.3269, device='cuda:0')
51 tensor(65.3720, device='cuda:0')
52 tensor(65.3968, device='cuda:0')
53 tensor(65.3731, device='cuda:0')
54 tensor(65.4092, device='cuda:0')
55 tensor(65.4487, device='cuda:0')
56 tensor(65.4953, device='cuda:0')
57 tensor(65.5090, device='cuda:0')
58 tensor(65.6045, device='cuda:0')
59 tensor(65.5593, device='cuda:0')
60 tensor(69.2330, device='cuda:0')
61 tensor(70.0975, device='cuda:0')
62 tensor(70.4531, device='cuda:0')
63 tensor(70.6714, device='cuda:0')
64 tensor(70.8446, device='cuda:0')
65 tensor(71.0604, device='cuda:0')
66 tensor(71.0815, device='cuda:0')
67 tensor(71.2360, device='cuda:0')
68 tensor(71.3456, device='cuda:0')
69 tensor(71.4780, device='cuda:0')
70 tensor(71.4750, device='cuda:0')
71 tensor(71.6029, device='cuda:0')
72 tensor(71.5688, device='cuda:0')
73 tensor(71.7063, device='cuda:0')
74 tensor(71.7686, device='cuda:0')
75 tensor(71.8058, device='cuda:0')
76 tensor(71.8489, device='cuda:0')
77 tensor(71.8888, device='cuda:0')
78 tensor(71.9554, device='cuda:0')
79 tensor(71.9147, device='cuda:0')
80 tensor(72.1162, device='cuda:0')
81 tensor(72.0752, device='cuda:0')
82 tensor(72.1135, device='cuda:0')
83 tensor(72.1769, device='cuda:0')
84 tensor(72.1363, device='cuda:0')
85 tensor(72.2024, device='cuda:0')
86 tensor(72.2016, device='cuda:0')
87 tensor(72.3163, device='cuda:0')
88 tensor(72.3161, device='cuda:0')
89 tensor(72.3609, device='cuda:0')
90 tensor(72.9976, device='cuda:0')
91 tensor(73.1243, device='cuda:0')
92 tensor(73.1549, device='cuda:0')
93 tensor(73.1614, device='cuda:0')
94 tensor(73.1901, device='cuda:0')
95 tensor(73.2050, device='cuda:0')
96 tensor(73.2679, device='cuda:0')
97 tensor(73.2647, device='cuda:0')
98 tensor(73.2680, device='cuda:0')
99 tensor(73.2772, device='cuda:0')
